id,name,category,address,phone,email,rating,reviews,hook,specialties,review_quotes
"1","Rae's Restaurant","Classic American Diner","2901 Pico Blvd, Santa Monica, CA 90405","(310) 828-7937","","4.5","1200","Legendary 1950s Googie diner featured in movies like True Romance. Cash-only staple with massive local loyalty.","Hobo Breakfast; Buttermilk Pancakes; Burgers; Classic Shakes","Stepping into Rae's is like stepping back into the 1950s. The Googie architecture is preserved perfectly.; Best breakfast in Santa Monica. The Hobo Breakfast is a massive amount of food for a great price.; Cash only! Don't forget. But the pancakes are worth every penny."
"2","Donut King","Donut Shop & Bakery","1912 Lincoln Blvd, Santa Monica, CA 90404","(310) 394-4848","","4.6","350","30-year family-owned 24-hour staple. Known for fresh donuts and affordable sandwiches near Samohi.","Old Fashioned Donuts; Bagel Sandwiches; Boba Tea","Open 24 hours and the donuts are always fresh. My go-to spot after a late night.; The bagel sandwiches are surprisingly good and very affordable for Santa Monica.; Friendly family-run business that has been here for decades."
"3","Lazy Daisy Cafe","Breakfast & Brunch","2300 Pico Blvd, Santa Monica, CA 90405","(310) 392-4161","","4.4","450","Quaint, colorful neighborhood favorite with a beautiful outdoor patio. Famous for their breakfast burritos.","Breakfast Burrito; Orange Julius; Outdoor Seating; Fresh Salads","The breakfast burrito is huge and delicious. Perfect spot for a weekend brunch.; Lovely outdoor patio. It's so colorful and relaxing.; Their version of an Orange Julius is a must-try. So refreshing!"
"4","Don's Cutting Edge","Barbershop","2917 Pico Blvd, Santa Monica, CA 90405","(310) 450-4416","","4.7","160","Highly consistent, fair-priced local favorite on Pico. Known for precision and a welcoming, no-frills vibe.","Traditional Cuts; Fair Pricing; Local Vibe","Don is a pro. Consistent, fast, and the price is unbeatable for the quality.; No-frills barbershop where you get a great cut every single time.; Been coming here for years. Best barber on Pico."
"5","Cuttin' Up! Barbershop III","Barbershop","1802 Broadway, Santa Monica, CA 90404","(310) 315-1801","","4.3","110","A Santa Monica staple since 1942. Deep community roots and a reputation for friendly service and great cuts.","Fades; Tapers; Community Atmosphere","Great community vibe. The barbers are friendly and really know what they're doing.; History on Broadway! This place has been around forever for a reason.; Always a good conversation and a great fade."
"6","Santa Monica Radiator","Auto Repair","1537 Lincoln Blvd, Santa Monica, CA 90401","(310) 395-2196","","4.8","90","85+ years of local history. The gold standard for cooling systems and honest, old-school mechanical work.","Cooling Systems; Radiator Repair; General Maintenance","They've been in business for 85 years and it shows. Absolute pros.; Honest, fair, and fast. They fixed my overheating issue in no time.; Old-school integrity. You don't find shops like this anymore."
"7","European One Auto Repair","Auto Repair","2700 Lincoln Blvd, Ste 6, Santa Monica, CA 90405","(310) 467-4394","","4.9","120","Specialized European car care with dealer-quality work at independent prices. Known for Edwin's expertise.","Audi; BMW; Mercedes; Specialized European Care","Edwin is the best. He knows European cars better than the dealership and is half the price.; Finally found an honest mechanic for my BMW. Highly recommend.; Professional, knowledgeable, and always fair with the estimates."
"8","J Motors","Auto Repair","3202 Lincoln Blvd, Santa Monica, CA 90405","(310) 399-7699","","4.9","85","Methodical, transparent, and highly trusted. Boasts a near-perfect rating for avoiding unnecessary upsells.","Brakes; Suspension; General Mechanical","They are so methodical and never try to sell you something you don't need.; Great shop. I trust them with all my car needs.; Very clean and professional operation. 5 stars."
"9","G M C Plumbing, Inc.","Plumbing","Santa Monica, CA","(310) 742-9197","","4.9","77","Responsive, professional plumbing specialist with a 4.9-star rating. Experts in sewer and drainage work.","Sewer Repair; Drainage; Emergency Plumbing","Geremi was extremely professional and fixed our sewer line faster than expected.; Responsive and fair pricing. Definitely my new go-to plumber.; High quality work and they cleaned up perfectly after the job."
"10","Burris Brothers Plumbing & Heating","Plumbing & Heating","Santa Monica, CA","(310) 450-7052","","5.0","76","Reliable neighborhood staple since 1990 with a perfect 5.0-star reputation for heating and plumbing.","Water Heaters; Heating Systems; Residential Plumbing","In business since 1990 and it's clear why. Reliable and expert service.; They replaced our water heater quickly and for a great price.; The most reliable plumbers in Santa Monica, hands down."
